_id,id,asset_id,location,alternative_name,type,accessible,hours,location_details,url,address,PostedDate,AssetName,Reason,Comments,Status,geometry
182,708,13599,Major Abbas Ali Park,Major Abbas Ali Park Washroom,Washroom Building,Accessible Stall,9 a.m. to 10 p.m.,Located inside the Scott Westney House.,https://www.toronto.ca/data/parks/prd/facilities/complex/708/index.html,180 Mclevin Ave  ,2024-04-17T10:44:31,Major Abbas Ali Park Washroom,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.23084525, 43.80375024]]}"
183,686,29536,Iroquois Park,Iroquois Park Fieldhouse Washroom,Washroom Building,Accessible Stall,9 a.m. to 10 p.m.,Located on the pathway between the tennis courts and the baseball diamond.,https://www.toronto.ca/data/parks/prd/facilities/complex/686/index.html,295 Chartland Blvd  S ,2024-04-17T10:44:10,Iroquois Park Fieldhouse Washroom,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.2679759, 43.80330444]]}"
184,6,29570,Marie Curtis Park,Marie Curtis Park Playground Washroom,Washroom Building,,9 a.m. to 10 p.m.,Located on a pathway near the spash pad and playground.,https://www.toronto.ca/data/parks/prd/facilities/complex/6/index.html,2 Forty Second St  ,2024-04-17T10:20:04,Marie Curtis Park Playground Washroom,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.54305009000001, 43.5876958]]}"
185,228,29590,Norwood Park,Norwood Park Washroom,Washroom Building,Entrance at Grade,9 a.m. to 10 p.m.,Located on the pathway in the southeast corner of the park near Norwood Road.,https://www.toronto.ca/data/parks/prd/facilities/complex/228/index.html,16 Norwood Rd  ,2024-04-17T09:19:19,Norwood Park Washroom,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.30277581, 43.682051630000004]]}"
186,265,29724,Wanless Park,Wanless Park Fieldhouse Washroom ,Washroom Building,"Accessible Stall, Entrance at Grade, Entrance Access Ramp, Child Change Table",9 a.m. to 10 p.m.,Located on the pathway west of the baseball diamond.,https://www.toronto.ca/data/parks/prd/facilities/complex/265/index.html,250 Wanless Ave  ,2024-04-17T09:12:14,Wanless Park Fieldhouse Washroom ,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.39187778, 43.72882539]]}"
187,5,29359,Derrydowns Park,Derrydowns Park Washroom,Washroom Building,"Accessible Stall, Entrance at Grade",9 a.m. to 10 p.m.,Located on the pathway south of the parking lot.,https://www.toronto.ca/data/parks/prd/facilities/complex/5/index.html,271 Derrydown Rd  ,2024-04-17T08:59:45,Derrydowns Park Washroom,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.50546279999999, 43.75813643]]}"
188,586,29746,Wishing Well Park,Wishing Well Park Fieldhouse Washroom ,Washroom Building,Accessible Stall,9 a.m. to 10 p.m.,Located on the pathway next to the tennis courts.,https://www.toronto.ca/data/parks/prd/facilities/complex/586/index.html,1700 Pharmacy Ave  ,2024-04-17T08:50:33,Wishing Well Park Fieldhouse Washroom ,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.31696457000001, 43.76983933]]}"
189,119,29553,Lawrence Park Ravine,Lawrence Park Ravine Tennis Clubhouse Washroom,Washroom Building,"Accessible Stall, Entrance at Grade",9 a.m. to 10 p.m.,Located on the pathway at the north side of the tennis courts.,https://www.toronto.ca/data/parks/prd/facilities/complex/119/index.html,51 Alexander Muir Rd  ,2024-04-17T08:47:13,Lawrence Park Ravine Tennis Clubhouse Washroom,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.39902069, 43.72079089]]}"
190,212,29644,Stanley Park North - Toronto,Stanley Park North Toronto Playground Washroom ,Washroom Building,"Accessible Stall, Entrance at Grade",9 a.m. to 10 p.m.,"Located near the King Street entrance, next to the playground.",https://www.toronto.ca/data/parks/prd/facilities/complex/212/index.html,890 King St  W ,2024-04-17T08:40:57,Stanley Park North Toronto Playground Washroom ,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.40931248, 43.64276864]]}"
191,841,29405,Esther Lorrie Park,Esther Lorrie Fieldhouse Washroom,Washroom Building,"Accessible Stall, Entrance at Grade",9 a.m. to 10 p.m.,"Located on the pathway west of the sports fields, next to the playground.",https://www.toronto.ca/data/parks/prd/facilities/complex/841/index.html,50 Westhumber Blvd  ,2024-04-17T08:02:38,Esther Lorrie Fieldhouse Washroom,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.5814883, 43.727964289999996]]}"
192,798,101973,Centennial Park - Etobicoke,Centennial Park Etobicoke Picnic Site 6 Washroom,Washroom Building,None,9 a.m. to 10 p.m.,Located next to Picnic Site #6.,"""https://www.toronto.ca/data/parks/prd/facilities/complex/798/index.html """,256 Centennial Park Rd,2024-04-17T07:39:13,Centennial Park Etobicoke Picnic Site 6 Washroom,None,Washroom closes at dusk.,2,"{'type': 'MultiPoint', 'coordinates': [[-79.59015171, 43.65204841]]}"
193,798,34993,Centennial Park - Etobicoke,Centennial Park Rob Ford Stadium Women's North Washroom,Washroom Building,None,9 a.m. to 10 p.m.,Located on the west side of Centennial Park Stadium at the north end.,https://www.toronto.ca/data/parks/prd/facilities/complex/798/index.html,256 Centennial Park Rd,2024-04-17T07:38:40,Rob Ford Stadium Women's North Washroom,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.58536071, 43.65379367]]}"
194,798,101974,Centennial Park - Etobicoke,Centennial Park Etobicoke Picnic Site 1 Washroom,Washroom Building,None,9 a.m. to 10 p.m.,"Located east of the parking lot off Elmcrest road, northeast of Picnic Site #1 and the playground.","""https://www.toronto.ca/data/parks/prd/facilities/complex/798/index.html """,256 Centennial Park Rd,2024-04-17T07:37:07,Centennial Park Etobicoke Picnic Site 1 Washroom,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.58701686, 43.648947369999995]]}"
